name,year,budget,gross,adjusted_budget,adjusted_gross
The Road,2009,25000000,56692,30159250,68392
The Time Traveler's Wife,2009,39000000,63414846,47048430,76501768
Couples Retreat,2009,60000000,109205660,72382200,131742432
Tanner Hall,2009,3000000,5005,3619110,6038
Beyond a Reasonable Doubt,2009,25000000,32409,30159250,39097
Terminator Salvation,2009,200000000,125322469,241273999,151185267
3 Idiots,2009,0,6532908,0,7881104
Funny People,2009,75000000,51855045,90477750,62556370
Cracks,2009,0,17595,0,21226
Carriers,2009,0,90820,0,109563
Madea Goes to Jail,2009,0,90485233,0,109158670
A Serious Man,2009,7000000,9190525,8444590,11087174
Tetro,2009,5000000,518522,6031850,625529
The White Ribbon,2009,0,2222647,0,2681335
A Prophet,2009,0,2084637,0,2514844
The Girlfriend Experience,2009,1700000,695417,2050829,838930
After.Life,2009,4500000,108229,5428665,130564
Fast & Furious,2009,85000000,155064265,102541450,187064877
2012,2009,200000000,166112167,241273999,200392734
The Soloist,2009,60000000,31670931,72382200,38206861
The Ugly Truth,2009,38000000,88915214,45842060,107264646
The Damned United,2009,10000000,449558,12063700,542333
Perrier's Bounty,2009,0,828,0,999
Ch�ri,2009,23000000,2708188,27746510,3267077
The Haunting in Connecticut,2009,0,55389516,0,66820250
Fantastic Mr. Fox,2009,40000000,21002919,48254800,25337291
Cirque du Freak: The Vampire's Assistant,2009,40000000,13838130,48254800,16693905
Underworld: Rise of the Lycans,2009,35000000,45802315,42222950,55254539
Pandorum,2009,33000000,10330853,39810210,12462831
Fanboys,2009,3900000,688529,4704843,830621
Fame,2009,18000000,22455510,21714660,27089654
Paper Man,2009,0,15388,0,18564
Chloe,2009,11000000,3074838,13270070,3709392
Pirate Radio,2009,50000000,7994115,60318500,9643860
The Collector,2009,6000000,7706394,7238220,9296763
G.I. Joe: The Rise of Cobra,2009,175000000,152267519,211114749,183690966
17 Again,2009,20000000,64167069,24127400,77409227
Ice Age: Dawn of the Dinosaurs,2009,90000000,196573705,108573300,237140620
The Last Station,2009,0,6616974,0,7982519
My Life in Ruins,2009,17000000,8662318,20508290,10449961
Adventureland,2009,0,16025394,0,19332555
Fighting,2009,0,23036320,0,27790325
My Bloody Valentine,2009,15000000,51545952,18095550,62183490
The Twilight Saga: New Moon,2009,50000000,296623634,60318500,357837852
Paul Blart: Mall Cop,2009,26000000,20819129,31365620,25115573
Jennifer's Body,2009,16000000,16204793,19301920,19548976
Black Dynamite,2009,2900000,228477,3498473,275628
Gamer,2009,50000000,20488579,60318500,24716807
The Canyon,2009,10000000,1785,12063700,2153
City Island,2009,6000000,6670712,7238220,8047347
I Can Do Bad All by Myself,2009,13000000,51733921,15682810,62410250
Coco Before Chanel,2009,0,6109075,0,7369805
"I Love You, Beth Cooper",2009,18000000,14793904,21714660,17846922
Youth in Revolt,2009,18000000,15281286,21714660,18434885
Up in the Air,2009,25000000,83823381,30159250,101122012
Una pareja dispareja,2009,13000000,2035566,15682810,2455646
Zombieland,2009,23600000,75590286,28470332,91189853
Hannah Montana: The Movie,2009,30000000,79566871,36191100,95987086
Cloudy with a Chance of Meatballs,2009,100000000,124870275,120637000,150639753
Whatever Works,2009,15000000,5306447,18095550,6401538
Julie & Julia,2009,40000000,94125426,48254800,113550090
I Hope They Serve Beer in Hell,2009,0,1425993,0,1720275
Orphan,2009,0,41596251,0,50180469
It's Complicated,2009,85000000,112735375,102541450,136000574
Halloween II,2009,15000000,33392973,18095550,40284281
"I Love You, Man",2009,40000000,71440011,48254800,86183086
Arthur and the Revenge of Maltazard,2009,0,347136,0,418774
Adam,2009,0,2277396,0,2747382
The Box,2009,16000000,15045676,19301920,18150652
Up,2009,175000000,293004164,211114749,353471432
Fired Up!,2009,20000000,17231291,24127400,20787312
The Uninvited,2009,0,28573173,0,34469819
The Boondock Saints II: All Saints Day,2009,8000000,10269307,9650960,12388584
Agora,2009,70000000,617840,84445900,745344
The Last House on the Left,2009,15000000,32721635,18095550,39474399
Precious,2009,10000000,47395661,12063700,57176703
Planeta 51,2009,70000000,42086887,84445900,50772358
The Blind Side,2009,29000000,255959475,34984730,308781831
Extract,2009,8000000,10814185,9650960,13045908
Armored,2009,27000000,15988876,32571990,19288500
Astro Boy,2009,65000000,19548064,78414050,23582198
The Girl Who Kicked the Hornet's Nest,2009,0,5188972,0,6259820
The Princess and the Frog,2009,105000000,104400899,126668850,125946112
The Good Guy,2009,8000000,100503,9650960,121244
The House of the Devil,2009,900000,100659,1085733,121432
Sorority Row,2009,16000000,11956207,19301920,14423609
Year One,2009,60000000,43337279,72382200,52280793
Away We Go,2009,17000000,9451946,20508290,11402544
New in Town,2009,8000000,16734283,9650960,20187737
The Slammin' Salmon,2009,0,41588,0,50171
A Single Man,2009,7000000,9166863,8444590,11058628
Dragonball: Evolution,2009,30000000,9353573,36191100,11283870
500 Days of Summer,2009,7500000,32391374,9047775,39075982
The Proposal,2009,40000000,163958031,48254800,197794049
Transformers: Revenge of the Fallen,2009,200000000,402111870,241273999,485095695
Monsters vs. Aliens,2009,175000000,198351526,211114749,239285330
Drag Me to Hell,2009,30000000,42100625,36191100,50788931
Ghosts of Girlfriends Past,2009,0,55250026,0,66651974
The Final Destination,2009,40000000,66477700,48254800,80196703
Splice: experimento mortal,2009,26000000,16999046,31365620,20507139
Spread,2009,0,249590,0,301098
Watchmen,2009,130000000,107509799,156828100,129696596
Night at the Museum: Battle of the Smithsonian,2009,150000000,177243721,180955500,213821507
The Secret in Their Eyes,2009,2000000,20167424,2412740,24329375
A Christmas Carol,2009,200000000,137855863,241273999,166305177
The Fourth Kind,2009,10000000,25464480,12063700,30719585
The Invention of Lying,2009,18500000,18439082,22317845,22244355
Star Trek,2009,150000000,257730019,180955500,310917762
Thirst,2009,5000000,296441,6031850,357618
Bad Lieutenant: Port of Call New Orleans,2009,20000000,1697956,24127400,2048363
Nine,2009,80000000,19664021,96509600,23722085
Amelia,2009,40000000,14241034,48254800,17179956
Broken Embraces,2009,18000000,5014305,21714660,6049107
Bride Wars,2009,30000000,58715510,36191100,70832630
Get Low,2009,7500000,9176553,9047775,11070318
Solitary Man,2009,15000000,4360548,18095550,5260434
La hermandad,2009,20000000,30101577,24127400,36313639
Duplicity,2009,60000000,40572825,72382200,48945839
Shorts,2009,40000000,20916309,48254800,25232808
The Informant!,2009,22000000,33313582,26540140,40188506
A Perfect Getaway,2009,14000000,15483540,16889180,18678878
Mystery Team,2009,0,77126,0,93042
Did You Hear About the Morgans?,2009,58000000,29580087,69969460,35684529
Miss March,2009,6000000,4542775,7238220,5480267
Land of the Lost,2009,100000000,49438370,120637000,59640966
The Imaginarium of Doctor Parnassus,2009,40000000,7689607,48254800,9276511
Bright Star,2009,8500000,4444637,10254145,5361877
9,2009,30000000,31743332,36191100,38294203
Inglourious Basterds,2009,75000000,120540719,90477750,145416707
Sherlock Holmes,2009,90000000,209028679,108573300,252165927
District 13: Ultimatum,2009,0,36039,0,43476
Law Abiding Citizen,2009,50000000,73343413,60318500,88479293
The Lovely Bones,2009,65000000,43818839,78414050,52861733
Moon,2009,5000000,5009677,6031850,6043524
Sin Nombre,2009,0,2534351,0,3057365
Today's Special,2009,0,400654,0,483337
Sector 9,2009,30000000,115646235,36191100,139512148
Donde viven los monstruos,2009,100000000,77233467,120637000,93172137
World's Greatest Dad,2009,0,221210,0,266861
12 Rounds,2009,22000000,12232937,26540140,14757448
X-Men Origins: Wolverine,2009,150000000,179883157,180955500,217005644
The International,2009,50000000,25450527,60318500,30702752
An Education,2009,0,12574715,0,15169759
[Rec] 2,2009,5600000,27766,6755672,33496
A �l no le gustas tanto,2009,40000000,93953653,48254800,113342868
Friday the 13th,2009,19000000,65002019,22921030,78416485
Defendor,2009,3500000,44462,4222295,53638
Ninja Assassin,2009,40000000,38105077,48254800,45968822
Street Fighter: La leyenda,2009,18000000,8742261,21714660,10546401
Surrogates,2009,80000000,38577772,96509600,46539067
Brooklyn's Finest,2009,17000000,27154426,20508290,32758285
The Taking of Pelham 123,2009,100000000,65452312,120637000,78959705
"The Goods: Live Hard, Sell Hard",2009,0,15102127,0,18218753
Invictus,2009,60000000,37491364,72382200,45228457
Whiteout,2009,35000000,10275638,42222950,12396221
The Hangover,2009,35000000,277322503,42222950,334553547
The Men Who Stare at Goats,2009,25000000,32416109,30159250,39105821
Summer Wars,2009,0,78182,0,94316
Love Happens,2009,18000000,22927390,21714660,27658915
Crossing Over,2009,19000000,454149,22921030,547872
Love and Other Impossible Pursuits,2009,0,20585,0,24833
Middle Men,2009,22000000,723714,26540140,873067
El juego del miedo VI,2009,11000000,27669413,13270070,33379550
Notorious,2009,20000000,36842118,24127400,44445226
Mr. Nobody,2009,47000000,3600,56699390,4343
Survival of the Dead,2009,4000000,101740,4825480,122736
The Joneses,2009,5000000,1474508,6031850,1778802
All About Steve,2009,15000000,33860010,18095550,40847700
Bitch Slap,2009,0,17365,0,20949
Whip It,2009,15000000,13043363,18095550,15735122
Brothers,2009,26000000,28501651,31365620,34383537
Aliens in the Attic,2009,45000000,25200412,54286650,30401021
Nowhere Boy,2009,0,1445366,0,1743646
Harry Potter and the Half-Blood Prince,2009,250000000,301959197,301592499,364274516
The Pink Panther 2,2009,70000000,35922978,84445900,43336403
Br�no,2009,42000000,60054530,50667540,72447983
Harry Brown,2009,7300000,1818681,8806501,2194002
The Human Centipede (First Sequence),2009,0,181467,0,218916
The Young Victoria,2009,35000000,11001272,42222950,13271604
The Girl Who Played with Fire,2009,0,9081782,0,10955989
My Sister's Keeper,2009,30000000,49200230,36191100,59353681
Alvin and the Chipmunks: The Squeakquel,2009,75000000,219614612,90477750,264936479
Knowing,2009,50000000,79957634,60318500,96458491
Avatar,2009,237000000,760507625,285909689,917453581
State of Play,2009,0,37017955,0,44657350
The Messenger,2009,6500000,66637,7841405,80389
Hotel para perros,2009,35000000,73034460,42222950,88106581
Angels & Demons,2009,150000000,133375846,180955500,160900619
The Limits of Control,2009,0,425025,0,512737
Meet the Browns,2008,0,41939392,0,50414421
Igor,2008,25000000,19528602,30051950,23474903
Miracle at St. Anna,2008,45000000,7916887,54093510,9516716
Nim's Island,2008,37000000,48006503,44476886,57707561
First Sunday,2008,0,37931869,0,45597065
Nights in Rodanthe,2008,30000000,41850659,36062340,50307757
Ceguera,2008,25000000,3073392,30051950,3694457
The Spirit,2008,60000000,19781879,72124680,23779362
Oorlogswinter,2008,0,542860,0,652560
Valkyrie,2008,75000000,83077833,90155850,99866035
Iron Man,2008,140000000,318412101,168290920,382756182
The Forbidden Kingdom,2008,55000000,52075270,66114290,62598536
The Curious Case of Benjamin Button,2008,150000000,127509326,180311700,153276156
The Day the Earth Stood Still,2008,80000000,79366978,96166240,95405298
"War, Inc.",2008,10000000,580862,12020780,698241
Changeling,2008,55000000,35739802,66114290,42962030
The Express,2008,40000000,9589875,48083120,11527778
Vantage Point,2008,40000000,72266306,48083120,86869737
Chaos Theory,2008,0,237958,0,286044
The Happening,2008,48000000,64506874,57699744,77542294
Frost/Nixon,2008,25000000,18593156,30051950,22350424
The Strangers,2008,10000000,52597610,12020780,63226430
Me and Orson Welles,2008,25000000,1186957,30051950,1426815
"10,000 BC",2008,105000000,94784201,126218190,113938003
The Sisterhood of the Traveling Pants 2,2008,0,44087387,0,52996478
The Spiderwick Chronicles,2008,90000000,71195053,108187020,85582007
Burn After Reading,2008,37000000,60355347,44476886,72551835
Nothing But the Truth,2008,11500000,3045,13823897,3660
Fool's Gold,2008,70000000,70231041,84145460,84423189
Meet the Spartans,2008,30000000,38233676,36062340,45959861
The Rocker,2008,15000000,6409528,18031170,7704753
Nick and Norah's Infinite Playlist,2008,9000000,31487293,10818702,37850182
Fireproof,2008,500000,33456317,601039,40217103
Australia,2008,130000000,49554002,156270140,59567776
The Family That Preys,2008,0,37019849,0,44500746
Mesrine Part 1: Killer Instinct,2008,0,551660,0,663138
One Missed Call,2008,27000000,26876529,32456106,32307684
"New York, I Love You",2008,14700000,1585859,17670547,1906326
Milk,2008,20000000,31841299,24041560,38275725
Fireflies in the Garden,2008,8000000,3393161,9616624,4078844
Never Back Down,2008,20000000,24850922,24041560,29872747
Meet Dave,2008,60000000,11802056,72124680,14186992
The Tale of Despereaux,2008,60000000,50877145,72124680,61158297
Gran Torino,2008,33000000,148095302,39668574,178022105
The Edge of Love,2008,0,28635,0,34422
The Duchess,2008,0,13823741,0,16617215
Good Dick,2008,0,15542,0,18683
Forgetting Sarah Marshall,2008,30000000,63172463,36062340,75938228
Miss Pettigrew Lives for a Day,2008,0,12294036,0,14778390
The Dark Knight,2008,185000000,534858444,222384430,642941570
Untraceable,2008,35000000,28687835,42072730,34485015
The Stoning of Soraya M.,2008,0,655647,0,788139
Forever Strong,2008,0,630649,0,758089
Mirrors,2008,35000000,30691439,42072730,36893504
Over Her Dead Body,2008,10000000,7563670,12020780,9092121
The Red Baron,2008,0,36569,0,43959
B�squeda implacable,2008,25000000,145000989,30051950,174302499
Cadillac Records,2008,12000000,8195551,14424936,9851692
In Bruges,2008,15000000,7757130,18031170,9324675
Ni en tu casa ni en la m�a,2008,80000000,120146040,96166240,144424912
The Incredible Hulk,2008,150000000,134518390,180311700,161701597
"Welcome Home, Roscoe Jenkins",2008,35000000,42436517,42072730,51012004
Eagle Eye,2008,80000000,101111837,96166240,121544315
Stop-Loss,2008,25000000,10911750,30051950,13116775
Waltz with Bashir,2008,1500000,2283276,1803117,2744676
Easy Virtue,2008,0,2656324,0,3193109
Step Up 2: The Streets,2008,17500000,58017783,21036365,69741901
Step Brothers,2008,65000000,100468793,78135070,120771326
Wild Child,2008,20000000,19780,24041560,23777
WALL�E,2008,180000000,223808164,216374040,269034871
Yes Man,2008,70000000,97690976,84145460,117432173
Brideshead Revisited,2008,20000000,6414563,24041560,7710805
Babylon A.D.,2008,70000000,22531698,84145460,27084859
RocknRolla,2008,18000000,5694401,21637404,6845114
Hell Ride,2008,0,194287,0,233548
Bronson,2008,0,104792,0,125968
Indiana Jones and the Kingdom of the Crystal Skull,2008,185000000,317101119,222384430,381180279
Hellboy II: The Golden Army,2008,85000000,75754670,102176630,91063022
The Reader,2008,32000000,34194407,38466496,41104344
Righteous Kill,2008,60000000,40081410,72124680,48180981
Eden Lake,2008,0,5824,0,7001
Strange Wilderness,2008,20000000,6563357,24041560,7889667
Tropic Thunder,2008,92000000,110515313,110591176,132848027
"Surfer, Dude",2008,6000000,36497,7212468,43872
Superhero Movie,2008,35000000,25871834,42072730,31099963
Sunshine Cleaning,2008,8000000,12062558,9616624,14500136
Killshot,2008,0,17007,0,20444
You Don't Mess with the Zohan,2008,90000000,100018837,108187020,120230444
Repo! The Genetic Opera,2008,8500000,140244,10217663,168584
W.,2008,25100000,25534493,30172158,30694452
Beverly Hills Chihuahua,2008,20000000,94514402,24041560,113613683
Kit Kittredge: An American Girl,2008,10000000,17655201,12020780,21222929
Street Kings,2008,20000000,26415649,24041560,31753671
The Merry Gentleman,2008,5000000,346286,6010390,416263
The Wrestler,2008,6000000,26236603,7212468,31538443
Revolutionary Road,2008,35000000,22911480,42072730,27541386
The Good the Bad the Weird,2008,10000000,128486,12020780,154450
The X Files: I Want to Believe,2008,30000000,20981633,36062340,25221559
Get Smart,2008,80000000,130319208,96166240,156653853
Transsiberian,2008,15000000,2203641,18031170,2648948
The Oxford Murders,2008,10000000,3607,12020780,4336
Shutter,2008,8000000,25926543,9616624,31165727
Doubt,2008,20000000,33422556,24041560,40176519
Doomsday,2008,30000000,10955425,36062340,13169275
Donkey Punch,2008,0,18378,0,22092
Traitor,2008,22000000,23530831,26445716,28285894
Ghost Town,2008,20000000,13214030,24041560,15884295
The Informers,2008,18000000,300000,21637404,360623
Semi-Pro,2008,55000000,33472850,66114290,40236977
Lakeview Terrace,2008,22000000,39263506,26445716,47197797
Bolt,2008,150000000,114053579,180311700,137101298
The Mummy: Tomb of the Dragon Emperor,2008,145000000,102491776,174301310,123203109
Seven Pounds,2008,55000000,69951824,66114290,84087549
Sex Drive,2008,19000000,8402485,22839482,10100442
Leatherheads,2008,58000000,31199215,69720524,37503890
Sex and the City,2008,65000000,152647258,78135070,183493911
High School Musical 3: Senior Year,2008,11000000,90559416,13222858,108859482
Disaster Movie,2008,20000000,14190901,24041560,17058570
Let the Right One In,2008,4000000,2122065,4808312,2550888
